Num_Acc,annee,mois,jour,hrmn,éclairage,agglomeration,intersection,meteo,collision,commune,adresse,lat,long,departement,categorie_route,circulation,nombre_voies,voie_speciale,denivele,plan,largeur_terplein_central,largeur_route,surface,infra,situation,sens_circulation,obstacle_fixe,obstacle_mobile,sens_choc,manoeuvre,num_veh,place,gravite,sexe,trajet,localisation_pieton,action_pieton,annee_naissance,secu1,vitesse_max,secu2,secu3,motorisation,heure,date,age
201600003612,2016,4,16,11:15:00,Plein jour,Hors agglomération,Intersection en Y,Temps éblouissant,Trois véhicules et plus - collisions multiples,271,hameau de st anatoly,43.57487,1.69224,31,Route Départementale,Non renseigné,0.0,Sans objet,Bas de côte,Sommet de côte,0.0,50.0,Normale,Aucun,Sur chaussée,PK ou PR ou numéro d’adresse postale décroissant,Sans objet,Véhicule,Avant gauche,Sans changement de direction,B,1,Tué,Masculin,Promenade - loisirs,Sans objet,Non renseigné ou sans objet,1948.0,Casque,,Non renseigné,Non renseigné,Non renseigné,11,2016-04-16,68.0
201600003612,2016,4,16,11:15:00,Plein jour,Hors agglomération,Intersection en Y,Temps éblouissant,Trois véhicules et plus - collisions multiples,271,hameau de st anatoly,43.57487,1.69224,31,Route Départementale,Non renseigné,0.0,Sans objet,Bas de côte,Sommet de côte,0.0,50.0,Normale,Aucun,Sur chaussée,PK ou PR ou numéro d’adresse postale décroissant,Sans objet,Autre,Avant,"Même sens, même file",D,1,Blessé hospitalisé,Masculin,Promenade - loisirs,Sans objet,Non renseigné ou sans objet,1962.0,Casque,,Non renseigné,Non renseigné,Non renseigné,11,2016-04-16,54.0
201600003612,2016,4,16,11:15:00,Plein jour,Hors agglomération,Intersection en Y,Temps éblouissant,Trois véhicules et plus - collisions multiples,271,hameau de st anatoly,43.57487,1.69224,31,Route Départementale,Non renseigné,0.0,Sans objet,Bas de côte,Sommet de côte,0.0,50.0,Normale,Aucun,Sur chaussée,PK ou PR ou numéro d’adresse postale décroissant,Sans objet,Autre,Avant,"Même sens, même file",C,1,Blessé léger,Masculin,Promenade - loisirs,Sans objet,Non renseigné ou sans objet,1954.0,Casque,,Non renseigné,Non renseigné,Non renseigné,11,2016-04-16,62.0
201600003612,2016,4,16,11:15:00,Plein jour,Hors agglomération,Intersection en Y,Temps éblouissant,Trois véhicules et plus - collisions multiples,271,hameau de st anatoly,43.57487,1.69224,31,Route Départementale,Non renseigné,0.0,Sans objet,Bas de côte,Sommet de côte,0.0,50.0,Normale,Aucun,Sur chaussée,PK ou PR ou numéro d’adresse postale décroissant,Sans objet,Autre,Avant,"Même sens, même file",E,1,Blessé léger,Masculin,Promenade - loisirs,Sans objet,Non renseigné ou sans objet,1965.0,Casque,,Non renseigné,Non renseigné,Non renseigné,11,2016-04-16,51.0
201600003616,2016,10,2,09:15:00,Plein jour,Hors agglomération,Hors intersection,Normale,Autre collision,228,,0.0,0.0,31,Route Départementale,Bidirectionnelle,2.0,Sans objet,Plat,Pente,0.0,0.0,Normale,Aucun,Sur chaussée,Inconnu,Sans objet,Aucun,Avant gauche,Sans changement de direction,B,1,Blessé hospitalisé,Féminin,Promenade - loisirs,Sans objet,Non renseigné ou sans objet,1953.0,Casque,,Non renseigné,Non renseigné,Non renseigné,9,2016-10-02,63.0
201600003617,2016,3,26,18:00:00,Plein jour,En agglomération,Hors intersection,Normale,Deux véhicules - frontale,113,70 rue des fontanelles,43.52307,1.50654,31,Voie Communale,Bidirectionnelle,2.0,Sans objet,Plat,Plat,0.0,60.0,Normale,Aucun,Sur chaussée,Inconnu,Sans objet,Véhicule,Avant,Sans changement de direction,B,1,Blessé hospitalisé,Féminin,Promenade - loisirs,Sans objet,Non renseigné ou sans objet,1978.0,Non renseigné,,Non renseigné,Non renseigné,Non renseigné,18,2016-03-26,38.0
201600003624,2016,6,5,09:15:00,Plein jour,Hors agglomération,Hors intersection,Normale,Deux véhicules – par le coté,118,route de fronton,43.79122,1.35049,31,Route Départementale,Bidirectionnelle,2.0,Sans objet,Pente,Pente,0.0,63.0,Normale,Aucun,Sur chaussée,PK ou PR ou numéro d’adresse postale croissant,Sans objet,Véhicule,Avant gauche,Déporté à gauche,B,1,Blessé hospitalisé,Masculin,Promenade - loisirs,Sans objet,Non renseigné ou sans objet,1975.0,Casque,,Non renseigné,Non renseigné,Non renseigné,9,2016-06-05,41.0
201600003631,2016,3,30,14:00:00,Plein jour,Hors agglomération,Intersection en X,Normale,Deux véhicules – par le coté,93,D58/RTE GALEMBRUN,43.76781,1.16329,31,Route Départementale,Bidirectionnelle,2.0,Sans objet,Non renseigné,Plat,0.0,50.0,Normale,Aucun,Sur chaussée,Inconnu,Sans objet,Véhicule,Avant,Sans changement de direction,A,1,Blessé hospitalisé,Féminin,Promenade - loisirs,Sans objet,Non renseigné ou sans objet,1952.0,Casque,,Non renseigné,Non renseigné,Non renseigné,14,2016-03-30,64.0
201600003639,2016,1,14,09:15:00,Plein jour,En agglomération,Giratoire,Normale,Deux véhicules – par le coté,417,rue principale,43.61775,1.2833,31,Route Départementale,Avec voies d’affectation variable,2.0,Sans objet,Plat,Non renseigné,0.0,0.0,Normale,Carrefour aménagé,Sur chaussée,Inconnu,Sans objet,Véhicule,Côté gauche,Sans changement de direction,B,1,Blessé léger,Masculin,Promenade - loisirs,Sans objet,Non renseigné ou sans objet,1952.0,Non renseigné,,Non renseigné,Non renseigné,Non renseigné,9,2016-01-14,64.0
201600003641,2016,7,27,08:45:00,Plein jour,Hors agglomération,Giratoire,Normale,Deux véhicules – par le coté,291,,0.0,0.0,31,Route Départementale,Bidirectionnelle,0.0,Sans objet,Pente,Pente,0.0,0.0,Normale,Aucun,Sur chaussée,Inconnu,Sans objet,Aucun,Aucun,Inconnue,B,1,Blessé hospitalisé,Masculin,Promenade - loisirs,Sans objet,Non renseigné ou sans objet,1980.0,Casque,,Non renseigné,Non renseigné,Non renseigné,8,2016-07-27,36.0
